0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Europe,-95.712891,37.09024,5.903988,48.095737,781,929,934,1056,1657,1956,2002,2401,2569,3256,3535,3574,3345,3155,3164,3928,19253,18104,17195,13326,12348,12216,11518,8988,9075,10715,#00329f
Asia,-95.712891,37.09024,89.400086,34.14732,1259,1658,1336,1632,2428,2887,2965,3306,3853,5287,6865,6827,6414,6366,5745,5799,53825,57558,56713,46413,44610,46580,45466,32557,21443,23478,#04955d
Africa,-95.712891,37.09024,21.724303,6.821783,701,961,931,891,1185,1442,1489,1507,1532,2110,2706,2662,2372,2103,2112,2064,3073,3368,2399,1745,1506,1730,2200,2097,2408,3342,#0093d8
Oceania,-95.712891,37.09024,156.796875,-17.308699,86,94,91,103,148,160,182,227,308,418,371,300,247,219,248,305,1074,789,622,600,598,605,668,711,895,745,#ffe800
North America,-95.712891,37.09024,-90.4972,15.71084,37622,39825,45392,63618,104868,162356,168746,172356,173789,145837,187594,213592,219432,256952,296082,335708,501516,388893,241884,166621,117534,100641,67377,59556,63364,65895,#dc5958
South America,-95.712891,37.09024,-59.414063,-15.623037,2064,2191,2238,2373,4140,4326,5206,5637,6946,8218,9990,13618,14535,12103,11988,11831,3640,2956,2944,2256,2291,1975,2330,2414,3379,4783,#ff6b2b
